User Name,Sex,Comments,Likes,Replies
碧蓝航线维护人员,男,冷知识：日本使用最多的密码No.9是0721,759,考古，最多的是114514吗[滑稽]
碧蓝航线维护人员,男,冷知识：日本使用最多的密码No.9是0721,759,回复 @厌恶蛤蟆广 :事，事啊（心虚
碧蓝航线维护人员,男,冷知识：日本使用最多的密码No.9是0721,759,艹
航小金,保密,在2024年的07.21 刷到了[笑哭],437,[微笑]
航小金,保密,在2024年的07.21 刷到了[笑哭],437,[doge]
北师大南湖附属学校,保密,Ciallo～(∠・ω< )⌒☆,125,诶嘿～
北师大南湖附属学校,保密,Ciallo～(∠・ω< )⌒☆,125,怎么都是24年来的
萩野小唄,女,有一说一，柚子社几个op就只有魔女夜宴最不像galgame的op，连一个介绍角色的镜头都没有，其他的都如同流水线做的（galgameop内味就是这样），就魔宴的动画最多甚至遥华画的都出现的很少，你给一些没玩过galgame或者是看的动漫比较少的他估计都认不出这是游戏的op，在这之后柚子社基本就是流水线式做游戏了，只不过之前也差不多,1327,只能说魔女的夜宴算是柚子是最经典的作品了，至少剧情上的糟点很少（宁宁线二周目牛头人这种理论根本不存在，因为宁宁原本的身体还在老世界，新世界的是一个新的躯体，保科和宁宁再度见面了，两个在身体的方面都是全新的人，只不过都有以前的记忆，哪来的牛头人？）
萩野小唄,女,有一说一，柚子社几个op就只有魔女夜宴最不像galgame的op，连一个介绍角色的镜头都没有，其他的都如同流水线做的（galgameop内味就是这样），就魔宴的动画最多甚至遥华画的都出现的很少，你给一些没玩过galgame或者是看的动漫比较少的他估计都认不出这是游戏的op，在这之后柚子社基本就是流水线式做游戏了，只不过之前也差不多,1327,仔细想想，柚子厨玩的那些梗不都是魔宴出来的吗[doge]
萩野小唄,女,有一说一，柚子社几个op就只有魔女夜宴最不像galgame的op，连一个介绍角色的镜头都没有，其他的都如同流水线做的（galgameop内味就是这样），就魔宴的动画最多甚至遥华画的都出现的很少，你给一些没玩过galgame或者是看的动漫比较少的他估计都认不出这是游戏的op，在这之后柚子社基本就是流水线式做游戏了，只不过之前也差不多,1327,回复 @悠悠の风 :Ciallo~
